site_id,date,labels
40284_14,2024-01-04,0
40284_14,2024-01-10,0
40284_14,2024-01-16,0
40284_14,2024-01-22,0
40284_14,2024-01-28,0
40284_14,2024-02-02,0
40284_14,2024-02-03,0
40284_14,2024-02-09,0
40284_14,2024-02-15,0
40284_14,2024-02-21,0
40284_14,2024-02-26,0
40284_14,2024-02-27,0
40284_14,2024-03-04,0
40284_14,2024-03-10,1
40284_14,2024-03-16,0
40284_14,2024-03-22,0
40284_14,2024-03-28,0
40284_14,2024-04-03,0
40284_14,2024-04-09,0
40284_14,2024-04-15,0
40284_14,2024-04-21,0
40284_14,2024-04-27,0
40284_14,2024-05-03,0
40284_14,2024-05-09,0
40284_14,2024-05-15,0
40284_14,2024-05-20,0
40284_14,2024-05-21,0
40284_14,2024-05-27,1
40284_14,2024-06-08,2
40284_14,2024-06-14,2
40284_14,2024-06-20,2
40284_14,2024-06-25,2
40284_14,2024-06-26,2
40284_14,2024-07-02,5
40284_14,2024-07-08,6
40284_14,2024-07-14,6
40284_14,2024-07-20,6
40284_14,2024-07-26,6
40284_14,2024-08-01,6
40284_14,2024-08-07,6
40284_14,2024-08-13,6
40284_14,2024-08-19,6
40284_14,2024-08-25,6
40284_14,2024-08-31,6
40284_14,2024-09-06,6
40284_14,2024-09-12,6
40284_14,2024-09-17,6
40284_14,2024-09-18,6
40284_14,2024-09-24,6
40284_14,2024-09-30,8
40284_14,2024-10-06,8
40284_14,2024-10-12,1
40284_14,2024-10-18,0
40284_14,2024-10-24,0
40284_14,2024-10-30,0
40284_14,2024-11-05,0
40284_14,2024-11-11,0
40284_14,2024-11-17,0
40284_14,2024-11-23,0
40284_14,2024-11-29,0
40284_14,2024-12-05,1
40284_14,2024-12-11,0
40284_14,2024-12-17,0
40284_14,2024-12-23,0
40284_14,2024-12-29,0
