site_id,date,labels
701068_15,2024-01-10,255
701068_15,2024-01-22,255
701068_15,2024-02-03,255
701068_15,2024-02-15,255
701068_15,2024-02-27,255
701068_15,2024-03-10,255
701068_15,2024-03-22,255
701068_15,2024-04-03,255
701068_15,2024-04-15,255
701068_15,2024-04-27,255
701068_15,2024-05-09,255
701068_15,2024-05-21,255
701068_15,2024-06-02,255
701068_15,2024-06-14,255
701068_15,2024-06-26,255
701068_15,2024-07-08,255
701068_15,2024-07-20,255
701068_15,2024-08-01,255
701068_15,2024-08-13,255
701068_15,2024-08-20,0
701068_15,2024-08-25,0
701068_15,2024-09-01,0
701068_15,2024-09-06,0
701068_15,2024-09-13,0
701068_15,2024-09-25,0
701068_15,2024-09-30,0
701068_15,2024-10-07,0
701068_15,2024-10-12,0
701068_15,2024-10-19,0
701068_15,2024-10-24,0
701068_15,2024-10-31,0
701068_15,2024-11-05,0
701068_15,2024-11-12,0
701068_15,2024-11-17,0
701068_15,2024-11-24,0
701068_15,2024-11-29,0
701068_15,2024-12-06,0
701068_15,2024-12-11,0
701068_15,2024-12-18,0
701068_15,2024-12-23,0
701068_15,2024-12-30,0
