granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240103T074321Z_20240208T001033Z_S2A_30_v1,20240103T074321Z,20240208T001033Z,0,NA,NA,200,0,0,NA,0,0,1085,0,NA,0,0,NA,0,0,1087
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240105T073219Z_20240208T001106Z_S2B_30_v1,20240105T073219Z,20240208T001106Z,0,0,13,200,0,0,NA,0,0,1100,0,2,0,0,NA,0,0,1100
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240107T072931Z_20240208T001139Z_L8_30_v1,20240107T072931Z,20240208T001139Z,0,0,11,200,0,0,NA,0,0,1102,0,2,0,0,NA,0,0,1102
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240108T072353Z_20240208T001211Z_L9_30_v1,20240108T072353Z,20240208T001211Z,0,NA,NA,200,0,0,NA,0,0,1102,0,NA,0,0,NA,0,0,1102
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240108T074219Z_20240208T001243Z_S2B_30_v1,20240108T074219Z,20240208T001243Z,0,0,9,200,0,0,NA,0,0,1103,0,1,0,0,NA,0,0,1103
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240110T073301Z_20240208T164322Z_S2A_30_v1,20240110T073301Z,20240208T164322Z,0,0,8,200,0,0,NA,0,0,1105,0,3,0,0,NA,0,0,1105
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240113T074251Z_20240208T164347Z_S2A_30_v1,20240113T074251Z,20240208T164347Z,0,NA,NA,200,0,0,NA,0,0,1105,0,NA,0,0,NA,0,0,1105
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240115T072943Z_20240208T164413Z_L9_30_v1,20240115T072943Z,20240208T164413Z,0,0,5,200,0,0,NA,0,0,1110,0,2,0,0,NA,0,0,1110
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240116T072346Z_20240208T164438Z_L8_30_v1,20240116T072346Z,20240208T164438Z,0,NA,NA,200,0,0,NA,0,0,1110,0,NA,0,0,NA,0,0,1110
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240118T074149Z_20240208T164504Z_S2B_30_v1,20240118T074149Z,20240208T164504Z,0,0,5,200,0,0,NA,0,0,1113,0,3,0,0,NA,0,0,1113
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240120T073221Z_20240208T164531Z_S2A_30_v1,20240120T073221Z,20240208T164531Z,0,0,6,200,0,0,NA,0,0,1115,0,2,0,0,NA,0,0,1115
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240123T072929Z_20240208T164557Z_L8_30_v1,20240123T072929Z,20240208T164557Z,0,0,5,200,0,0,NA,0,0,1118,0,2,0,0,NA,0,0,1118
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240123T074211Z_20240208T164623Z_S2A_30_v1,20240123T074211Z,20240208T164623Z,0,0,4,200,0,0,NA,0,0,1118,0,1,0,0,NA,0,0,1118
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240124T072351Z_20240208T164647Z_L9_30_v1,20240124T072351Z,20240208T164647Z,0,NA,NA,200,0,0,NA,0,0,1118,0,NA,0,0,NA,0,0,1118
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240125T073109Z_20240208T164713Z_S2B_30_v1,20240125T073109Z,20240208T164713Z,0,NA,NA,200,0,0,NA,0,0,1118,0,NA,0,0,NA,0,0,1118
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240128T074059Z_20240208T164738Z_S2B_30_v1,20240128T074059Z,20240208T164738Z,0,0,5,200,0,0,NA,0,0,1123,0,3,0,0,NA,0,0,1123
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240130T073141Z_20240208T164803Z_S2A_30_v1,20240130T073141Z,20240208T164803Z,0,NA,NA,200,0,0,NA,0,0,1123,0,NA,0,0,NA,0,0,1123
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240131T072943Z_20240209T140218Z_L9_30_v1,20240131T072943Z,20240209T140218Z,0,0,3,200,0,0,NA,0,0,1126,0,1,0,0,NA,0,0,1126
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240201T072343Z_20240213T074314Z_L8_30_v1,20240201T072343Z,20240213T074314Z,0,NA,NA,200,0,0,NA,0,0,1126,0,NA,0,0,NA,0,0,1126
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240202T074131Z_20240213T074338Z_S2A_30_v1,20240202T074131Z,20240213T074338Z,0,0,3,200,0,0,NA,0,0,1128,0,1,0,0,NA,0,0,1128
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240204T073019Z_20240213T074402Z_S2B_30_v1,20240204T073019Z,20240213T074402Z,0,0,4,200,0,0,NA,0,0,1130,0,2,0,0,NA,0,0,1130
OPERA_L3_DIST-ALERT-HLS_T38RMN_20240207T074009Z_20240213T074425Z_S2B_30_v1,20240207T074009Z,20240213T074425Z,0,0,2,200,0,0,NA,0,0,1133,0,1,0,0,NA,0,0,1133
